record_id,company_id,job_title,source_url,change_type,detected_at,review_status
cnnc-J29414,cn-soe-0011,质量监督岗,https://cnnc.zhiye.com/shehui2025#J29414,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
cnnc-J29413,cn-soe-0011,会计岗,https://cnnc.zhiye.com/shehui2025#J29413,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
cnnc-J29059,cn-soe-0011,中核新材-总经理岗,https://cnnc.zhiye.com/shehui2025#J29059,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
cnnc-J28221,cn-soe-0011,中核矿业科技-地质和水文地质科研岗,https://cnnc.zhiye.com/shehui2025#J28221,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
cnnc-J29398,cn-soe-0011,科技服务岗,https://cnnc.zhiye.com/shehui2025#J29398,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
cnnc-J29397,cn-soe-0011,专业技术岗位,https://cnnc.zhiye.com/shehui2025#J29397,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
cnnc-J29396,cn-soe-0011,科技管理岗,https://cnnc.zhiye.com/shehui2025#J29396,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
cnnc-J29391,cn-soe-0011,生产技术部（数智化部）科研管理岗,https://cnnc.zhiye.com/shehui2025#J29391,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
cnnc-J28885,cn-soe-0011,网信运维岗,https://cnnc.zhiye.com/shehui2025#J28885,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
casic-J20485,cn-soe-0012,质量技术师,https://casic.zhiye.com/szlist#J20485,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
casic-J20423,cn-soe-0012,固定资产投资基建工程综合管理岗,https://casic.zhiye.com/szlist#J20423,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
casic-J20422,cn-soe-0012,成本价格管理岗,https://casic.zhiye.com/szlist#J20422,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
casic-J20368,cn-soe-0012,发动机密封设计岗,https://casic.zhiye.com/szlist#J20368,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
casic-J20370,cn-soe-0012,Java开发技术岗,https://casic.zhiye.com/szlist#J20370,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
casic-J20371,cn-soe-0012,气冷涡轮叶片冷却结构设计岗,https://casic.zhiye.com/szlist#J20371,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
casic-J20372,cn-soe-0012,人工智能开发应用技术岗,https://casic.zhiye.com/szlist#J20372,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
casic-J20326,cn-soe-0012,智能设计施工工程师,https://casic.zhiye.com/szlist#J20326,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
casic-J20412,cn-soe-0012,建筑电气施工员,https://casic.zhiye.com/szlist#J20412,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
casic-J20399,cn-soe-0012,卫星测运控中心岗位,https://casic.zhiye.com/szlist#J20399,first_seen_snapshot,2026-07-13T12:30:00Z,review_pending
casic-J20398,cn-soe-0012,技能操作岗,https://casic.zhiye.com/szlist#J20398,first_seen_snapshot,2026-07-13T13:05:00Z,review_pending
casic-J20385,cn-soe-0012,装调工,https://casic.zhiye.com/szlist#J20385,first_seen_snapshot,2026-07-13T13:05:00Z,review_pending
casic-J20392,cn-soe-0012,土建技术员,https://casic.zhiye.com/szlist#J20392,first_seen_snapshot,2026-07-13T13:05:00Z,review_pending
casic-J20387,cn-soe-0012,法务专员,https://casic.zhiye.com/szlist#J20387,first_seen_snapshot,2026-07-13T13:05:00Z,review_pending
casic-J20386,cn-soe-0012,市场营销员,https://casic.zhiye.com/szlist#J20386,first_seen_snapshot,2026-07-13T13:05:00Z,review_pending
casic-J20329,cn-soe-0012,人工智能应用工程师,https://casic.zhiye.com/szlist/?PageIndex=2#J20329,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J20325,cn-soe-0012,党务主管,https://casic.zhiye.com/szlist/?PageIndex=2#J20325,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J20313,cn-soe-0012,技术岗,https://casic.zhiye.com/szlist/?PageIndex=2#J20313,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J20311,cn-soe-0012,研发技术人员,https://casic.zhiye.com/szlist/?PageIndex=2#J20311,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J20305,cn-soe-0012,科研项目管理,https://casic.zhiye.com/szlist/?PageIndex=2#J20305,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J20288,cn-soe-0012,管理岗,https://casic.zhiye.com/szlist/?PageIndex=2#J20288,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J20278,cn-soe-0012,人事管理岗,https://casic.zhiye.com/szlist/?PageIndex=2#J20278,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J20282,cn-soe-0012,网络运维工程师,https://casic.zhiye.com/szlist/?PageIndex=2#J20282,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J20274,cn-soe-0012,光纤陀螺核心技术人员,https://casic.zhiye.com/szlist/?PageIndex=2#J20274,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J20138,cn-soe-0012,2026届高级复合材料工程师,https://casic.zhiye.com/szlist/?PageIndex=2#J20138,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J19881,cn-soe-0012,结构设计师-电机设计,https://casic.zhiye.com/szlist/?PageIndex=2#J19881,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J19889,cn-soe-0012,MEMS器件设计师,https://casic.zhiye.com/szlist/?PageIndex=2#J19889,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J19891,cn-soe-0012,软件设计师-机台开发,https://casic.zhiye.com/szlist/?PageIndex=2#J19891,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J19887,cn-soe-0012,信息系统开发师,https://casic.zhiye.com/szlist/?PageIndex=2#J19887,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J19888,cn-soe-0012,电路设计师-驱动器,https://casic.zhiye.com/szlist/?PageIndex=2#J19888,first_seen_snapshot,2026-07-13T12:50:00Z,review_pending
casic-J15021,cn-soe-0012,信息化运维主管,https://casic.zhiye.com/szlist/?PageIndex=3#J15021,first_seen_snapshot,2026-07-13T13:15:00Z,review_pending
casic-J14953,cn-soe-0012,所属单位总会计师,https://casic.zhiye.com/szlist/?PageIndex=3#J14953,first_seen_snapshot,2026-07-13T13:15:00Z,inactive_expired
casic-J14858,cn-soe-0012,设计师（可靠性测试）,https://casic.zhiye.com/szlist/?PageIndex=3#J14858,first_seen_snapshot,2026-07-13T13:15:00Z,review_pending
casic-J14801,cn-soe-0012,空间飞行器结构系统设计,https://casic.zhiye.com/szlist/?PageIndex=3#J14801,first_seen_snapshot,2026-07-13T13:15:00Z,candidate_raw
casic-J14705,cn-soe-0012,技术工程师,https://casic.zhiye.com/szlist/?PageIndex=3#J14705,first_seen_snapshot,2026-07-13T13:15:00Z,review_pending
casic-J14702,cn-soe-0012,外贸业务员,https://casic.zhiye.com/szlist/?PageIndex=3#J14702,first_seen_snapshot,2026-07-13T13:15:00Z,review_pending
casic-J19238,cn-soe-0012,专项人才,https://casic.zhiye.com/Overseaslist#J19238,first_seen_snapshot,2026-07-13T13:15:00Z,review_pending
cssc-J11969,cn-soe-0013,研发工程师（计算机类）,https://cssc.zhiye.com/zpdetail/311042429?PageIndex=2,first_seen_snapshot,2026-07-13T19:56:11.999430+00:00,candidate_raw
cssc-J11970,cn-soe-0013,研发工程师（控制工程类）,https://cssc.zhiye.com/zpdetail/311042428?PageIndex=2,first_seen_snapshot,2026-07-13T19:56:11.999431+00:00,candidate_raw
cssc-J11968,cn-soe-0013,研发工程师（电子信息类）,https://cssc.zhiye.com/zpdetail/311042427?PageIndex=2,first_seen_snapshot,2026-07-13T19:56:11.999433+00:00,review_pending
cssc-J11975,cn-soe-0013,研发工程师（航空航天类）,https://cssc.zhiye.com/zpdetail/311042426?PageIndex=2,first_seen_snapshot,2026-07-13T19:56:11.999434+00:00,candidate_raw
cssc-J11977,cn-soe-0013,研发工程师（能源动力类）,https://cssc.zhiye.com/zpdetail/311042425?PageIndex=2,first_seen_snapshot,2026-07-13T19:56:11.999436+00:00,candidate_raw
cssc-J11974,cn-soe-0013,研发工程师（船舶与海洋工程类）,https://cssc.zhiye.com/zpdetail/311042424?PageIndex=2,first_seen_snapshot,2026-07-13T19:56:11.999438+00:00,review_pending
cssc-J11973,cn-soe-0013,研发工程师（信息与通信工程类）,https://cssc.zhiye.com/zpdetail/311042423?PageIndex=2,first_seen_snapshot,2026-07-13T19:56:11.999439+00:00,review_pending
cssc-J11976,cn-soe-0013,研发工程师（软件工程类）,https://cssc.zhiye.com/zpdetail/311042422?PageIndex=2,first_seen_snapshot,2026-07-13T19:56:11.999441+00:00,candidate_raw
cssc-J11971,cn-soe-0013,研发工程师（自动化类）,https://cssc.zhiye.com/zpdetail/311042421?PageIndex=2,first_seen_snapshot,2026-07-13T19:56:11.999442+00:00,candidate_raw
cssc-J11972,cn-soe-0013,研发工程师（兵器类）,https://cssc.zhiye.com/zpdetail/311042420?PageIndex=2,first_seen_snapshot,2026-07-13T19:56:11.999444+00:00,candidate_raw
